event_type,scan_code,name,time
up,24,o,1770221310.910079
down,15,tab,1770221312.6296933
down,28,enter,1770221312.9365826
up,28,enter,1770221313.0134532
up,15,tab,1770221313.1198108
down,50,m,1770221313.9980671
up,50,m,1770221314.086601
down,24,o,1770221314.1460416
up,24,o,1770221314.2127926
down,31,s,1770221314.5472796
up,31,s,1770221314.633225
down,20,t,1770221314.8716958
up,20,t,1770221314.93297
down,57,space,1770221314.9665554
up,57,space,1770221315.0221272
down,24,o,1770221315.1020465
up,24,o,1770221315.1526833
down,33,f,1770221315.2401438
up,33,f,1770221315.3003871
down,33,f,1770221315.3948507
up,33,f,1770221315.4683762
down,57,space,1770221315.5184016
up,57,space,1770221315.6006477
down,48,b,1770221315.7208898
up,48,b,1770221315.8010707
down,18,e,1770221315.8502405
up,18,e,1770221315.956497
down,46,c,1770221316.1490748
down,24,o,1770221316.2297654
up,46,c,1770221316.2747366
up,24,o,1770221316.3484044
down,50,m,1770221316.3484044
up,50,m,1770221316.4487646
down,18,e,1770221316.4525938
up,18,e,1770221316.5658555
down,57,space,1770221316.634792
up,57,space,1770221316.6853962
down,49,n,1770221316.7896469
up,49,n,1770221316.852334
down,18,e,1770221316.852334
up,18,e,1770221316.9355662
down,47,v,1770221317.2266579
up,47,v,1770221317.302841
down,18,e,1770221317.4117332
up,18,e,1770221317.464002
down,19,r,1770221317.5561333
up,19,r,1770221317.6351407
down,57,space,1770221317.715361
up,57,space,1770221317.8027008
down,19,r,1770221318.144179
up,19,r,1770221318.194894
down,14,backspace,1770221318.4634902
down,47,v,1770221318.5211086
up,14,backspace,1770221318.540925
up,47,v,1770221318.587452
down,18,e,1770221318.6589925
up,18,e,1770221318.7176886
down,19,r,1770221318.808714
down,21,y,1770221318.884771
up,19,r,1770221318.884771
up,21,y,1770221318.9716797
down,57,space,1770221319.0690606
up,57,space,1770221319.1217828
down,38,l,1770221319.205837
up,38,l,1770221319.2849705
down,18,e,1770221319.2849705
up,18,e,1770221319.3532002
down,30,a,1770221319.5304546
up,30,a,1770221319.6186798
down,32,d,1770221319.782408
up,32,d,1770221319.9746618
down,18,e,1770221320.2246902
up,18,e,1770221320.3490903
down,14,backspace,1770221320.6543674
up,14,backspace,1770221320.7189717
down,57,space,1770221320.874657
up,57,space,1770221320.922567
down,50,m,1770221321.023628
up,50,m,1770221321.0908618
down,23,i,1770221321.15678
up,23,i,1770221321.240475
down,34,g,1770221321.299005
down,35,h,1770221321.38723
up,34,g,1770221321.38723
up,35,h,1770221321.4741945
down,57,space,1770221321.694834
up,57,space,1770221321.7744913
down,50,m,1770221321.8941936
up,50,m,1770221321.963559
down,24,o,1770221322.0083075
up,24,o,1770221322.0812793
down,31,s,1770221323.0473611
up,31,s,1770221323.1230896
down,20,t,1770221323.3252754
up,20,t,1770221323.4433737
down,57,space,1770221323.5103385
up,57,space,1770221323.5759163
down,46,c,1770221323.867005
up,46,c,1770221324.0100532
down,24,o,1770221324.3290722
up,24,o,1770221324.427971
down,50,m,1770221324.532869
down,18,e,1770221324.5778453
up,50,m,1770221324.611145
up,18,e,1770221324.6777887
down,57,space,1770221324.7649777
up,57,space,1770221324.8544807
down,46,c,1770221324.9582686
down,24,o,1770221325.0707207
up,46,c,1770221325.0707207
up,24,o,1770221325.14143
down,49,n,1770221325.1750264
up,49,n,1770221325.2447991
down,32,d,1770221325.298922
up,32,d,1770221325.3282044
down,23,i,1770221325.391833
down,32,d,1770221325.461249
up,23,i,1770221325.4776614
up,32,d,1770221325.5918324
down,19,r,1770221325.9109545
up,19,r,1770221325.990563
down,14,backspace,1770221326.195219
up,14,backspace,1770221326.2622502
down,19,r,1770221326.3115451
up,19,r,1770221326.3898213
down,20,t,1770221326.5279806
up,20,t,1770221326.5806737
down,57,space,1770221326.6593597
up,57,space,1770221326.7460673
down,49,n,1770221326.9825728
up,49,n,1770221327.0435138
down,18,e,1770221327.1052318
up,18,e,1770221327.1799603
down,17,w,1770221327.322471
up,17,w,1770221327.3859837
down,57,space,1770221327.4649868
up,57,space,1770221327.535082
down,25,p,1770221327.7791367
up,25,p,1770221327.8430092
down,19,r,1770221327.846499
up,19,r,1770221327.9312823
down,18,e,1770221328.0194254
up,18,e,1770221328.099221
down,31,s,1770221328.2120156
up,31,s,1770221328.264071
down,18,e,1770221328.34698
up,18,e,1770221328.417008
down,49,n,1770221328.5127766
up,49,n,1770221328.6122901
down,20,t,1770221328.6452434
up,20,t,1770221328.7349737
down,57,space,1770221328.829958
up,57,space,1770221328.8985403
down,33,f,1770221329.0055604
down,23,i,1770221329.1094172
up,33,f,1770221329.110425
up,23,i,1770221329.1801617
down,49,n,1770221329.2158747
up,49,n,1770221329.283846
down,32,d,1770221329.342363
